country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CAN,56.57406,-102.50995,295.21,0.39,0.36,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.66,0.37,N
CAN,56.57494,-102.51625,295.13,0.39,0.36,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.2,0.23,N
CAN,57.08262,-103.74181,296.42,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.16,1.51,N
CAN,57.0885,-103.73215,309.57,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.42,1.55,N
CAN,57.09022,-103.7456,296.44,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,281.3,2.14,N
CAN,57.09108,-103.75231,301.54,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,279.6,1.29,N
CAN,57.09186,-103.73067,298.28,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.95,0.96,N
CAN,57.09272,-103.7374,306.62,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.2,1.36,N
CAN,57.09359,-103.74413,299.09,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.33,1.36,N
CAN,57.09444,-103.75085,306.62,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.07,1.63,N
CAN,57.09867,-103.75607,301.23,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,279.28,1.63,N
CAN,57.09953,-103.76276,299.3,0.41,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,274.77,1.29,N
CAN,57.97511,-103.40582,307.71,0.42,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.56,1.03,N
CAN,57.97849,-103.40427,310.87,0.42,0.37,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.53,1.03,N
CAN,59.15911,-122.67636,295.17,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,280.79,1.18,N
CAN,59.16228,-122.69418,295.86,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,280.49,1.24,N
CAN,59.16261,-122.68316,310.05,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.9,1.24,N
CAN,59.16544,-122.68763,296.25,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.31,1.81,N
CAN,59.28355,-122.02393,309.69,0.58,0.7,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.48,3.05,N
CAN,59.28373,-122.03165,300.96,0.58,0.7,2025-06-30,858,N20,VIIRS,n,2.0NRT,280.5,2.82,N
CAN,59.2838,-122.01338,315.52,0.58,0.69,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.92,3.05,N
CAN,59.28395,-122.02108,314.5,0.58,0.69,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.61,2.82,N
